pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount
40.721319,-73.844311,40.712278000000005,-73.84161,4.5
40.711303,-74.016048,40.782004,-73.979268,16.9
40.76127,-73.982738,40.750562,-73.991242,5.7
40.733143,-73.98713000000001,40.758092,-73.991567,7.7
40.768008,-73.96809499999999,40.783762,-73.956655,5.3
40.731629999999996,-74.000964,40.758233000000004,-73.972892,12.1
40.751661999999996,-73.980002,40.764842,-73.973802,7.5
40.774138,-73.9513,40.751048,-73.990095,16.5
40.726713000000004,-74.006462,40.731628,-73.993078,9.0
40.733872999999996,-73.98065799999999,40.758138,-73.99154,8.9
40.737142,-73.996335,40.733559,-73.980721,5.3
0.0,0.0,0.0,0.0,5.5
40.744712,-73.991601,40.744682,-73.983081,4.1
40.728867,-74.00536,40.710907,-74.008913,7.0
40.737547,-74.00182099999999,40.722788,-73.99806,7.7
0.0,0.0,0.0,0.0,5.0
40.760465,-73.98643,40.737075,-73.98899,12.5
40.73769,-73.98106,40.728412,-73.99417700000001,5.3
40.784843,-73.969505,40.783357,-73.958732,5.3
40.751902,-73.979815,40.755481,-73.979446,4.0
40.747858,-73.985382,40.76207,-73.97837700000001,10.5
40.779252,-73.957954,40.758787,-73.96125,11.5
40.770505,-73.99170699999999,40.763671,-73.98545899999999,4.5
40.747473,-74.000632,40.740577,-73.986672,4.9
40.756972999999995,-73.969622,40.759712,-73.98115200000001,6.1
40.754437,-73.991875,40.774322999999995,-73.97723,7.3
0.0,0.0,0.0,0.0,6.5
40.76016,-73.988893,40.757857,-73.98644499999999,4.5
40.690835,-73.98925799999999,40.72569,-74.004133,9.3
40.737759999999994,-73.98102,40.730497,-73.98066800000001,4.5
40.752421999999996,-73.976075,40.759285,-73.981082,5.5
40.71766662597656,-74.01048278808595,40.66036605834961,-73.98577117919923,22.54
40.773883000000005,-73.87302700000001,40.769545,-73.984545,31.9
40.744988,-73.976162,40.738323,-73.990002,5.7
40.740784999999995,-73.993717,40.676617,-73.99927199999999,18.1
40.73871994018555,-73.98332977294923,40.84722518920898,-73.93319702148438,58.0
40.756446838378906,-73.99017333984375,40.7628288269043,-73.9856185913086,4.5
40.754740000000005,-73.995199,40.751084000000006,-74.005416,5.3
40.773617,-73.95774,40.758465,-73.977087,9.0
40.759186,-73.972673,40.791367,-73.969897,9.8
40.744960999999996,-73.984267,40.759608,-73.981646,8.1
40.725514000000004,-74.003899,40.765537,-73.976484,10.9
40.76292,-73.97845,40.716502,-74.008482,17.5
40.7372,-73.988558,40.780747999999996,-73.958688,12.1
40.737095000000004,-73.997037,40.735043,-73.98612800000001,5.3
40.758944,-73.971114,40.736613,-73.97793,6.9
40.74442,-73.980822,40.748796999999996,-73.991093,4.5
40.763577000000005,-73.988877,40.760262,-73.985573,3.3
40.756071999999996,-73.98666,40.751702,-73.989727,3.3
40.742657,-73.992253,40.755947,-73.983597,9.0
40.739765000000006,-73.985582,40.760426,-73.973899,9.7
40.772048,-73.952825,40.781152,-73.95219399999999,5.5
40.783722999999995,-73.980298,40.763179,-73.979628,8.0
40.746212,-73.97770799999999,40.745055,-73.975782,7.5
